mfcc,chroma,mel,label
-428.98532~62.847427~-7.5199065~6.6405954~5.84392~8.223097~-13.313976~0.24778336~0.07576629~-5.3888535~-9.723929~2.8543298~-3.0732124~-4.3270817~-2.1595454~0.92817575~-3.3870187~0.023637436~-3.2751477~-3.445881~-0.49286774~-3.0729032~-3.9536982~-3.136957~-3.369041~-2.7211382~-3.9131494~-3.4744818~-2.5286088~-3.3769355~-3.8004656~-3.5511444~-2.8056402~-2.3311968~-3.5786927~-2.6910043~-1.6814296~-1.347654~-2.4921257~-0.68585575,0.6807484~0.6651419~0.6838058~0.6809037~0.67294693~0.69088167~0.6900856~0.6982281~0.7040825~0.71973234~0.71418846~0.70415425,0.006680139~0.0128881605~0.05305841~0.7654469~2.743849~2.824464~1.5835233~0.33194~0.69452345~1.4674913~2.1318321~3.6327426~3.9735322~2.4793146~1.837602~2.4645662~1.7212393~2.071663~2.6236284~1.7222412~0.6253426~0.6842644~1.5204889~1.5058873~0.92195445~0.41197336~0.40914294~0.2486206~0.19733359~0.26348174~0.20864913~0.2108457~0.16549724~0.17998819~0.10938517~0.11451965~0.26397893~0.46429834~0.22909528~0.14688237~0.16563219~0.2099377~0.2320358~0.20627315~0.14731164~0.19500451~0.23276813~0.23681746~0.24576885~0.15381397~0.22726904~0.23848014~0.16776846~0.14587104~0.14766984~0.10330603~0.14629553~0.13110913~0.13225543~0.120825246~0.10324618~0.09442964~0.115930595~0.13816638~0.12677138~0.08200025~0.087746985~0.048601113~0.044947166~0.028095584~0.028432667~0.019457415~0.014840321~0.00998915~0.0095308~0.008566203~0.0071935635~0.007977564~0.00958582~0.014791588~0.010456275~0.0099846795~0.009142909~0.0101218885~0.010206756~0.010686308~0.007978619~0.005689908~0.006954325~0.0075569875~0.007226074~0.008158834~0.006827444~0.004120964~0.0032017427~0.0027206752~0.0025369697~0.0022000086~0.0017068019~0.0018573338~0.0021809128~0.0021209721~0.0021928463~0.0021342766~0.001904537~0.0017794798~0.0016524668~0.0012108664~0.0011739995~0.0014580251~0.0013543959~0.0011537663~0.0009997792~0.00092255964~0.0009106965~0.00079744303~0.000659627~0.00055374077~0.00041833075~0.00030069455~0.00023161981~0.00017858965~0.00011816336~9.459366e-05~7.1971925e-05~5.4516397e-05~3.6972302e-05~2.0536057e-05,disgust
-300.10403~96.68312~6.608123~7.504838~-31.662407~-7.736998~-28.512032~2.2214797~-12.658315~-39.17197~-25.874384~-0.29130518~-13.4140005~-18.770735~-11.151582~-4.590873~-8.974308~-4.6072335~-11.927396~-9.814889~-0.0027550177~-6.587749~-7.232395~1.1319681~-3.998749~-10.022578~-1.5095143~2.655619~-1.7045825~-1.6623287~-3.1698952~-2.387492~-1.4778318~-2.37289~-2.9844286~3.5100875~0.9555444~1.4068565~-2.1284~-1.6941968,0.48728818~0.48565617~0.5137357~0.49511924~0.45776606~0.46946028~0.51632607~0.5577169~0.5091641~0.5012007~0.5258262~0.49737084,0.00017011925~0.0023394045~0.008222612~0.14338624~0.7638024~1.5021812~5.552352~8.541532~8.30183~7.706787~9.425756~14.22319~23.778717~27.748192~30.093441~16.219044~12.688619~13.996283~12.751529~15.5438385~8.439412~2.8806129~2.8845809~2.5855231~4.147281~4.460243~2.0989642~1.177346~1.5123044~1.476725~0.6943513~0.366527~0.615355~1.5166295~1.5181074~1.0733213~1.3422072~2.4592607~2.0501888~0.5924256~0.947531~0.67200506~0.47861323~0.5138094~0.636825~0.5713382~0.35187796~0.30747983~0.26942003~0.32604647~0.17111728~0.06941417~0.017757237~0.03136497~0.06444167~0.02329833~0.023708792~0.014577314~0.004807793~0.004189687~0.013385608~0.018176304~0.032824904~0.035451286~0.053044174~0.051200595~0.09479736~0.12614611~0.06744529~0.038398046~0.024088344~0.01149935~0.015368548~0.026621815~0.059973255~0.06771393~0.05482346~0.051747058~0.029713927~0.025026977~0.015105905~0.014048036~0.0070111905~0.009245136~0.012879581~0.008405126~0.01679745~0.030978959~0.040998768~0.073093876~0.10114307~0.116861284~0.08690037~0.11681429~0.11772566~0.11513656~0.09019013~0.049178243~0.031040179~0.024596594~0.03105202~0.036859103~0.028915133~0.022267958~0.012423935~0.011729082~0.008637828~0.0064380392~0.006581552~0.0063711917~0.006878235~0.0062576043~0.005900492~0.0057154214~0.004127886~0.0034485813~0.0031220303~0.002375462~0.0014009129~0.001222658~0.00080848695~0.0005796217~0.0004462663~0.0003960367~0.00044335538~0.00030193356~0.00015757256~6.252051e-05,disgust
-262.07852~100.13091~-22.490406~11.027829~-25.159895~-4.1356497~-27.218403~0.7422594~-16.36707~-24.298891~-17.409803~-19.09059~-15.354708~0.9264423~-11.677906~-11.958629~-4.6896033~-11.486941~-21.51233~-9.369289~-9.129709~-16.736393~-11.780399~-12.810452~-17.039268~-9.21845~-12.646003~-2.5515287~-1.1349667~1.9257085~8.985353~6.3662305~7.8407516~0.8981366~0.22661558~2.6893802~3.7884893~3.8751228~3.1338797~3.3459115,0.7208768~0.6817725~0.557351~0.44131792~0.38932964~0.40157172~0.3798862~0.43050537~0.5152362~0.5114712~0.5702124~0.62394106,7.350491e-05~0.0012321086~0.019396821~0.056204386~0.33482414~2.983974~22.517172~39.635918~22.555773~2.0655956~0.17074747~0.47373125~1.1030139~3.8925178~10.687529~33.73055~51.73071~47.51477~10.883893~3.0595443~4.6212654~4.645696~3.5009873~1.24453~3.4785295~5.0687585~9.945128~5.849135~1.8557664~0.70194423~0.5022084~0.6998303~1.9134444~3.5844934~7.4267025~7.415716~3.764895~1.8379772~1.9738675~3.887301~1.4189075~0.858254~1.2540982~0.47290927~0.21978791~0.29620817~0.22786814~0.25009033~0.11926948~0.065812826~0.18861681~0.14858639~0.07110166~0.0563578~0.16441363~0.14219306~0.05053781~0.068823114~0.10589221~0.20735244~0.18712088~0.10646894~0.062612236~0.13024694~0.33467847~0.3745734~0.049635015~0.059913777~0.05264551~0.03636635~0.0316276~0.022053903~0.017209224~0.01772871~0.043790888~0.09370895~0.17734957~0.09364206~0.06228907~0.09407936~0.0945819~0.04165703~0.034052264~0.027084012~0.014493625~0.035701077~0.02604878~0.02567697~0.029242832~0.04482923~0.085745335~0.17649171~0.0935874~0.067937516~0.08376301~0.13927484~0.16329694~0.12987058~0.12772924~0.12116308~0.08989816~0.07152737~0.09318519~0.069987476~0.05645669~0.0496139~0.028983796~0.025070673~0.024774918~0.024386836~0.01949124~0.019329952~0.018304896~0.0135066295~0.008885043~0.007656162~0.006272703~0.004400882~0.0027961233~0.0020067485~0.0009921751~0.0006475899~0.00052916363~0.000432217~0.00034849954~0.00018028895~9.579684e-05~4.4925917e-05,disgust
-314.50687~153.317~1.5736115~20.553225~-6.982634~16.506826~-9.449115~-12.018257~-5.236254~-11.194833~-13.731554~-15.444375~-0.9289462~5.145778~-4.7818522~-1.6077594~-1.1330643~-2.189652~-5.1303973~-9.202282~-3.849624~-3.5659657~-3.1049805~-6.4425497~-8.8995075~-7.8958554~-9.599451~-5.7030807~-7.2239923~-6.0407486~-2.771299~-4.054283~-2.346839~-5.444708~-7.454281~-3.5557475~-3.4146101~-4.0945163~-5.7373047~-4.4115524,0.70742625~0.73249805~0.6709419~0.55409557~0.49987298~0.50872~0.505057~0.536168~0.6103847~0.6665546~0.6456732~0.6718545,0.00077674194~0.09576949~2.966399~14.197967~10.3526325~0.9057247~4.1620727~6.7210174~7.5415134~2.8871903~1.5500438~3.4650455~10.887038~27.508402~16.447588~14.480142~16.299349~26.243746~21.282974~7.1221123~1.4617682~1.6162022~2.635039~1.8856524~1.1680908~0.7317221~0.6084149~0.65301615~0.5553991~0.61033094~0.7428439~1.8316828~3.109271~1.8973525~5.019847~5.1292987~1.6572801~0.7076009~0.6905319~0.45950383~0.34651318~0.27454817~0.17925212~0.0888548~0.07131062~0.15649329~0.09744962~0.0720214~0.12416158~0.07001646~0.08334969~0.04646882~0.04275606~0.036054913~0.034672942~0.034595396~0.064469256~0.10525665~0.121384904~0.100745164~0.09281324~0.08063939~0.06395677~0.053738315~0.053634986~0.041586015~0.020429369~0.011850174~0.010289281~0.010512071~0.014600893~0.010307118~0.0054327594~0.004761585~0.009802586~0.011419953~0.010606472~0.0083806785~0.022833925~0.034459975~0.016357971~0.011689074~0.016382033~0.00920504~0.009125938~0.02405144~0.008466821~0.009171526~0.0113023445~0.008165509~0.0047181468~0.0050487397~0.0049502505~0.0050333426~0.0049973507~0.004911264~0.005690133~0.003732429~0.003535596~0.003167094~0.0052583213~0.004437091~0.0039520594~0.002524929~0.002099034~0.0012173771~0.0009167905~0.0006835495~0.0007068539~0.0005508878~0.00050742226~0.000382262~0.0003506545~0.0003259714~0.00022524684~0.00015969048~9.5509684e-05~7.09323e-05~4.616988e-05~3.473068e-05~1.9601131e-05~8.44981e-06~6.1722835e-06~7.796353e-06~6.7100013e-06~3.2335288e-06~1.5316604e-06~4.0094466e-07,disgust
-297.83548~95.73629~-16.27523~38.113113~-21.530043~2.1079464~-13.886597~-5.7364817~-4.096904~-11.672624~-23.025757~-11.133826~-9.470767~-3.7151334~-6.3697543~-6.265731~-4.488612~-0.55845004~-3.5038471~-13.55917~-11.171269~-4.499225~-0.28614965~-8.268584~-13.869545~-5.923243~-5.410399~-6.0595374~-10.071695~-10.907718~-9.020527~-5.504633~-6.0434437~-5.84476~-8.162577~-3.2700365~-5.4454703~-2.4945092~-1.7409717~1.784796,0.5237501~0.55190665~0.6428741~0.67262614~0.5890862~0.5467489~0.5903334~0.7094758~0.7026892~0.62464803~0.6068972~0.58406687,0.0073693492~0.04986934~0.09894265~0.8668279~4.0034423~7.696068~5.260427~0.3816011~0.20268999~0.773671~2.4861162~10.625732~18.668634~9.269143~5.9175854~5.026219~0.97468257~3.7396257~7.5060625~8.541735~2.7024462~0.50668484~0.7954025~1.0170066~1.4640317~1.1977983~0.58284426~0.111863114~0.12554282~0.2742376~1.6100445~4.2740765~1.8594198~1.3139627~1.0996474~0.84197927~0.65644366~0.7820273~0.8163881~0.40725878~0.15119731~0.10397292~0.13292399~0.096276246~0.14906056~0.15450811~0.09967965~0.11720055~0.088989854~0.057284992~0.047756713~0.06731915~0.020929491~0.0056355298~0.030360837~0.042744037~0.075393006~0.1461818~0.09367716~0.1198331~0.08038218~0.06396424~0.061510026~0.056703724~0.049881775~0.058895107~0.09357917~0.0937422~0.120824665~0.116070986~0.11493249~0.094417624~0.065684944~0.04372932~0.05192793~0.08497964~0.09875323~0.111663304~0.22389355~0.46433112~0.54825735~0.54770637~0.5284068~0.36435276~0.2723147~0.18794502~0.19348742~0.2281125~0.49733132~0.4894563~0.42210433~0.33494583~0.3288932~0.3323175~0.28511137~0.1409092~0.08423486~0.044447854~0.035877403~0.039437063~0.03941961~0.031446822~0.027013952~0.022442732~0.01445072~0.009962919~0.007839697~0.007941785~0.009407237~0.006318635~0.004673944~0.0027131147~0.002722681~0.0023337873~0.0020581703~0.001717763~0.0014117425~0.0011100606~0.0006763094~0.000362039~0.00021587983~0.00015099079~0.00015464831~0.000141276~0.000111382134~6.4897824e-05~3.1619642e-05~1.3715023e-05,disgust
-292.0036~101.02351~-35.539024~3.747574~-9.266591~-2.8182757~-8.031024~-4.4854465~-17.252415~-5.0855722~-11.750343~6.790353~-3.2140896~2.068382~2.8154032~-2.8979912~-5.352001~-11.83124~-11.1075325~-7.0596933~2.0773745~2.0550733~6.9743605~10.865873~9.557527~6.975746~6.419649~4.3215575~2.0842557~5.6856966~3.4476633~-2.3699977~-3.5600197~-2.274714~-0.5488946~-1.4595962~-6.819705~-5.3294134~-2.2533808~0.12357873,0.44653475~0.48764303~0.56229275~0.5844833~0.5424933~0.50301725~0.53840405~0.51252174~0.44263485~0.41022092~0.44510955~0.46922094,0.004844981~0.0077185654~0.010910419~0.007604737~0.0034499657~0.006859819~0.08554759~0.37622973~1.8527135~2.3895445~3.2187343~2.5625372~1.7597814~0.4654173~0.07240152~0.1591273~0.49197212~5.1796246~18.118273~28.83922~24.23785~18.330595~14.6324215~14.459614~14.337363~3.0590646~2.8272545~1.0037967~0.6962665~0.31722388~0.6805202~1.9221903~2.0677986~2.7689664~8.643358~11.167796~7.1974053~4.0071173~5.3897533~4.9030876~6.4371076~7.9157476~5.192091~3.9701068~3.153163~1.3621132~0.6992216~0.48044994~0.22949257~0.41871154~0.4554335~0.47025108~0.5002692~0.5509269~0.3429426~0.1525957~0.060865276~0.020632898~0.06899219~0.12562506~0.19554761~0.06877035~0.060627896~0.032217693~0.062252857~0.12334792~0.077312626~0.07106084~0.057348337~0.07776315~0.08115586~0.022100622~0.04251361~0.045822784~0.024381252~0.020139221~0.026554404~0.024832958~0.028452126~0.024384705~0.013094263~0.010249979~0.009494893~0.016215896~0.015553559~0.019283053~0.033356108~0.02513534~0.043606665~0.048585214~0.0746962~0.07135344~0.068281576~0.056722563~0.04041392~0.048547234~0.040222585~0.031677965~0.023088431~0.017624926~0.019162768~0.018033452~0.017425962~0.014429095~0.01103035~0.006119221~0.0075437985~0.0052800323~0.008444031~0.010665023~0.007248843~0.009245025~0.009640749~0.010721114~0.0104488125~0.007964353~0.0076084454~0.0047562793~0.0032140315~0.0015826111~0.0009249815~0.0005909463~0.00023285027~0.00016522389~0.00013250146~0.00012693716~0.00011296568~5.4468746e-05,disgust
-402.92627~83.041756~-0.5218511~7.371978~2.7532938~4.5853095~-20.334602~3.41855~5.459921~-10.404964~-14.780663~0.43123087~-3.7414546~-5.7824683~-2.1240246~2.650579~-5.4941406~-0.8623402~-2.703186~-4.7946386~-2.0407574~-3.9709876~-4.8770394~-3.8061566~-4.8455853~-2.6122756~-3.3166358~-5.636162~-4.829899~-2.7929816~-5.399087~-4.7909207~-4.85064~-2.4618697~-3.868606~-4.4983773~-1.2539984~-1.5015918~-3.1178758~-1.4163108,0.6812987~0.67281544~0.6397808~0.646004~0.6759223~0.6902442~0.6658701~0.6547981~0.65581244~0.6610656~0.6829477~0.6788136,0.003738053~0.011402789~0.046422888~0.6742535~3.277736~3.3350756~1.3098496~0.39881927~1.0304366~3.1280336~8.026487~9.388426~3.3250444~2.6147375~4.33795~7.576564~9.047786~7.314834~2.5632~1.9548763~2.2682722~1.5663155~2.1966953~1.6732852~1.4265497~0.48330918~0.5185604~1.1559305~1.9334832~2.6695518~1.3521343~0.84950763~0.68841743~0.9299347~1.3323497~1.8675897~2.3436568~0.9402101~0.58048666~0.46638614~0.26053488~0.223528~0.32476008~0.1667989~0.12716399~0.08524522~0.06979363~0.037224554~0.038581748~0.11366535~0.07067208~0.026580647~0.029039394~0.03551976~0.039841745~0.039800033~0.05778183~0.047807124~0.031699326~0.08510188~0.05942421~0.16194284~0.18857922~0.17974015~0.13812426~0.09709002~0.10365072~0.14372073~0.15102701~0.14620042~0.07382884~0.03787387~0.022304159~0.009071289~0.007564736~0.0068140114~0.0051504783~0.0054563577~0.0041205077~0.003443768~0.0050911494~0.0043835454~0.0032896805~0.0040161507~0.006373081~0.007917103~0.0070534023~0.0066518807~0.006238092~0.006447622~0.008226471~0.0058930675~0.0052103954~0.0037624435~0.0022396406~0.0018775152~0.0019140689~0.0022487917~0.0022307774~0.0024524257~0.002135472~0.0018598895~0.0016284607~0.0018619649~0.0019176586~0.0015558057~0.0016867568~0.0018021612~0.0018192999~0.0015297118~0.0015367925~0.0016222199~0.0011860471~0.0008270139~0.0007153288~0.0007236303~0.000785424~0.00073723996~0.00053777505~0.00048107063~0.00042660758~0.00034880085~0.00022619679~0.00020302983~0.00014515792~0.000100745674~6.4028565e-05~4.6135603e-05,disgust
-304.67834~112.77525~-28.171627~12.429153~-3.1957269~3.8523371~-27.62718~-5.028501~-15.641267~-29.255306~-13.469409~-11.079471~-12.055575~-8.359733~-12.716244~-9.162011~-6.4838223~-7.218316~-18.393747~-18.08027~-6.802264~-14.528614~-16.193605~-9.939851~-8.864915~-13.14626~-12.378665~-4.0880485~-9.257815~-8.933446~-7.7554913~-11.001358~-7.6970735~0.20949253~1.2839963~5.6886115~10.768632~11.13866~11.392865~11.634635,0.51201415~0.41338304~0.3944031~0.49951547~0.53151387~0.51778966~0.5255458~0.57744324~0.6642996~0.71478057~0.679637~0.58205014,2.200869e-05~7.044577e-05~0.00035557497~0.0131425215~0.6579501~12.964984~46.2434~23.94988~3.20227~0.036568265~0.10722648~1.2893116~13.278672~24.612509~16.726622~11.310865~3.9864085~0.77104557~4.2431273~35.31533~31.115677~9.4868355~3.246765~0.5107716~0.058323972~0.17976774~0.69549984~1.2963325~1.1336461~0.5035972~0.22031178~0.11189496~0.20516832~0.49229762~1.081225~0.8287429~0.33534282~0.34324497~0.525567~0.542613~0.7314356~0.2807754~0.15192367~0.38539982~0.64086646~0.76673466~0.33897477~0.6339637~0.34432834~0.26951492~0.2069584~0.38639933~0.5660663~0.30891603~0.5871317~0.24708138~0.06002196~0.18415315~0.14463295~0.07309131~0.24988872~0.18204157~0.30981764~0.67869294~0.43542215~0.53224504~0.26164702~0.19888051~0.11996077~0.0541702~0.043945428~0.05134085~0.0603469~0.08375445~0.12142329~0.28040096~0.2383938~0.16428582~0.04180931~0.018027179~0.023632357~0.022491485~0.012412366~0.016127897~0.035806466~0.017578797~0.02352223~0.024098191~0.021568809~0.0424456~0.030189537~0.010847051~0.011389914~0.012672359~0.009583964~0.007330938~0.006503262~0.009063737~0.012641912~0.0071110083~0.0060171625~0.0061957557~0.0074465824~0.0082604885~0.0059657255~0.00414096~0.0029877767~0.002288553~0.0029177126~0.0035138112~0.002313039~0.001749818~0.001787982~0.0013097072~0.0009097651~0.0006758471~0.00050787133~0.00041796357~0.00029833068~0.00021528297~0.00020221592~0.00010060723~9.9156e-05~9.5809475e-05~7.729466e-05~3.6578116e-05~1.961765e-05~6.8694867e-06,disgust
-279.7152~121.24337~-45.215363~-0.78891164~-8.688884~-2.5502856~-34.07068~-4.9757953~-19.19805~-23.307652~-8.503924~-13.986526~-21.004374~-6.072189~-5.6497~-16.095285~-4.2166333~-4.153616~-24.863037~-11.157202~-2.0931892~-21.552654~-12.823212~-7.2172337~-14.461215~-11.440221~-9.581438~-7.834638~-9.445827~-3.34352~-4.3660135~0.4605155~11.948764~10.335566~14.363665~15.960051~11.561124~6.4258475~4.2443147~3.0490081,0.75416327~0.58461154~0.4758206~0.41062808~0.37683493~0.43835092~0.4896986~0.43126237~0.458607~0.53318757~0.6371174~0.7754103,8.002838e-05~0.00078121567~0.0017894557~0.0058700205~0.055139255~1.2194855~19.019913~29.715315~7.5989704~0.18967159~0.028655821~0.0839248~0.67667395~6.658699~25.480461~42.594967~24.402481~5.6034193~0.5842707~1.2542747~6.8161087~13.059108~12.914114~4.4449677~1.1188161~0.46058038~0.6190886~0.8078061~1.3297609~4.06984~7.4463887~2.9738948~0.4690175~0.5619292~0.72898734~0.96550506~1.1974612~4.590542~3.2099273~1.1287287~0.42136708~0.31083345~1.1371148~1.4523896~0.39230567~0.49650174~0.6542796~1.0534205~0.70947534~0.62873113~0.57463306~0.59450114~0.93983144~2.219107~1.8903015~0.5788942~0.64647263~0.61902523~0.41687733~0.33671895~0.34692204~0.32436353~0.30662832~0.65359676~0.9154426~1.066003~0.22591592~0.2465093~0.09367909~0.057129484~0.05082179~0.0641896~0.03486095~0.048380475~0.06838621~0.17255162~0.31594977~0.18727072~0.17773454~0.13773648~0.055558484~0.003838585~0.0030314783~0.0018142125~0.0011184226~0.0026556305~0.0017447865~0.005054112~0.011512927~0.010396354~0.024847347~0.055624772~0.036868643~0.012426897~0.01219876~0.024916753~0.028917756~0.030241942~0.035039976~0.036625396~0.023302391~0.018919062~0.020545188~0.02894704~0.029212687~0.013201746~0.008210042~0.0060879462~0.006085573~0.005280057~0.006333881~0.004967793~0.006936221~0.0046714665~0.0028164247~0.00175139~0.0012830695~0.0010574289~0.00096374814~0.00058242853~0.00029319827~0.00016831742~8.628948e-05~7.876941e-05~6.3769636e-05~3.6141908e-05~3.50027e-05~1.7165632e-05,disgust
-356.61575~131.18518~17.641773~21.930225~2.506422~27.413094~-5.459808~-10.378426~-5.7529087~-8.76102~-13.164416~-16.544413~-6.8618326~6.912706~-2.092336~-0.15534051~-0.3142018~-3.9851794~-3.558576~-9.125657~-5.0471716~-3.7033916~-4.996539~-3.0434833~-4.6568813~-6.9599853~-9.557605~-4.232411~-4.52586~-5.8500824~-4.1971607~-3.8313982~-0.73146945~-4.466907~-7.4231834~-2.7882268~-0.10028869~-2.6935546~-5.2249207~-2.624379,0.76875305~0.6924669~0.6742117~0.60858697~0.5395786~0.5438745~0.5248312~0.51323587~0.557162~0.63716644~0.7236474~0.80511594,0.0009568281~0.19870028~3.8045778~7.906765~2.250823~1.0043354~7.890584~8.140086~1.9292428~1.232556~2.8916078~2.6349926~3.5033777~11.570518~20.991037~13.03585~4.767507~2.5490592~2.1443403~1.7932129~1.2468809~0.32269612~0.2213683~0.10757012~0.13973911~0.0751855~0.048890423~0.060991924~0.057949804~0.07224594~0.050270163~0.11870704~0.18462124~0.15684475~0.09920216~0.33786774~0.65374374~0.25425562~0.08262163~0.13593401~0.15689103~0.117687315~0.113061786~0.07410909~0.15747488~0.1559024~0.4737308~0.8092368~0.9531559~0.8323219~0.26371506~0.17380908~0.22420932~0.21606192~0.16201033~0.22575909~0.26590982~0.22829466~0.25305867~0.19198146~0.08065542~0.0731056~0.05653705~0.058315214~0.044947267~0.029885044~0.01309488~0.0061179833~0.0017577185~0.0039623175~0.005863728~0.003258738~0.003898006~0.011793238~0.011282115~0.007909275~0.008744546~0.00645599~0.013975837~0.01930673~0.00932908~0.020592107~0.009943352~0.006531126~0.009288821~0.013916069~0.007689787~0.01434575~0.015315567~0.006369956~0.006245472~0.0057432414~0.0067878724~0.0068684407~0.0066729407~0.009752805~0.008736166~0.008688273~0.0064230016~0.0065401276~0.006030422~0.007858818~0.0068626874~0.0035250017~0.0024638406~0.0015257938~0.001157102~0.00069940917~0.0005847807~0.00072600896~0.0010951228~0.0010794494~0.0011571456~0.0011544243~0.0008780748~0.0007658888~0.00044546506~0.0002438328~0.00014579078~0.00011183139~4.7675694e-05~2.4324938e-05~1.3884853e-05~1.3065023e-05~1.0411362e-05~5.8314363e-06~3.029369e-06~1.3427056e-06,disgust
-307.13513~94.07583~-26.399513~25.235514~-18.776596~3.5245194~-11.505439~-12.402154~-12.293525~-17.991693~-23.819855~-12.742393~-12.397379~-5.6193447~-4.7856016~-5.559085~-7.0996385~-4.3465075~-6.6086173~-13.318266~-2.280281~-5.4927483~-7.535161~-9.812141~-11.934046~-7.233042~-6.1366787~-9.338672~-10.665491~-8.516627~-7.709926~-8.026473~-7.8524227~-6.7246222~-8.953487~-4.5446463~-6.3700814~-4.2835665~-0.49957258~1.709263,0.5965255~0.6101142~0.6367415~0.62299204~0.6064962~0.61873245~0.6194384~0.69441247~0.6877214~0.6324157~0.58919~0.5894398,2.7671154e-05~0.00040103166~0.015195721~0.46434358~2.7062619~5.626276~3.5864577~0.30923438~0.053596444~0.42712852~3.8227026~14.714609~24.286375~17.64198~6.3223004~12.266204~19.938747~21.242687~6.9938326~2.495383~1.8578564~2.596698~1.7498119~0.7436041~2.3188353~2.7664554~3.1828506~2.169966~1.6651165~1.0127119~0.8760711~1.4192872~0.97475255~0.6270582~0.5161378~1.271459~2.4600143~2.57122~1.18354~1.2971334~1.214799~0.99474716~0.58915466~0.3056271~0.23917174~0.47788826~0.33832678~0.50837755~0.5731023~0.4133226~0.4382273~0.5657656~0.8330657~0.5484994~0.21491364~0.07356122~0.10446491~0.19234082~0.16537409~0.28473482~0.19289547~0.12786302~0.13184664~0.19395085~0.114933886~0.10396529~0.051103752~0.056900773~0.081756406~0.08126324~0.0599298~0.06660343~0.066437714~0.06528533~0.039272793~0.06677873~0.13836811~0.14307536~0.07733415~0.11161898~0.18010916~0.12098037~0.056364417~0.05356685~0.085928336~0.055687618~0.07307847~0.14712256~0.1979106~0.26427582~0.15327641~0.14930145~0.16351275~0.147626~0.12217155~0.08107677~0.05826473~0.04108785~0.03606174~0.0355216~0.03356117~0.034434535~0.021960003~0.011533087~0.00720512~0.0049903165~0.0037079654~0.006413239~0.007375367~0.0043069646~0.0029166194~0.002103887~0.0021374787~0.0016375725~0.0012428585~0.0011065213~0.00076751295~0.0005581851~0.0002592295~0.00014154059~6.834244e-05~3.71134e-05~4.1867675e-05~4.869332e-05~6.617839e-05~4.05012e-05~1.7326083e-05~5.7799352e-06,disgust
-275.67834~94.08006~-43.2518~15.702495~-2.5071697~-2.6181953~-16.0275~-18.256306~-22.546307~1.656239~-7.114407~8.195311~4.6834006~2.4720306~4.3366537~1.1094669~-7.8894773~-13.5877905~-9.862709~-8.802357~-5.6570387~-6.700265~-3.5523465~1.7590283~6.2131114~14.504031~16.453909~14.736561~8.817547~4.713217~0.12114936~-4.9858675~0.4567232~-0.31870455~1.392719~-0.85441715~-9.064563~-4.140833~1.5601985~0.24105169,0.4067251~0.46858495~0.5627061~0.76848346~0.70656365~0.48565283~0.3938768~0.4004044~0.4176646~0.38594028~0.41705203~0.41906965,0.0054187616~0.0060974583~0.010975915~0.012082548~0.011411915~0.016168691~0.11378037~0.37146714~1.8989956~2.528571~2.5580409~0.8770739~0.31597975~0.14014828~0.0949263~0.20268194~0.6902624~5.3202033~23.82453~84.129234~64.21346~24.775497~6.056085~1.014279~0.6260682~0.8752912~1.2621385~2.5772872~2.1695983~0.40435165~0.12947516~0.59485763~0.57787544~0.21076779~0.27351832~0.31483632~0.6405001~0.6991658~0.92177045~0.7165322~1.1307596~1.8710215~0.45499513~0.42013413~0.48411423~0.81449294~0.58294135~0.8072621~0.9654303~0.84283537~0.87912476~2.0412083~1.1234022~1.0768908~0.5831133~1.5336156~2.8742592~0.43151158~0.21377127~1.0508941~1.579316~0.31221244~0.129697~0.14579114~0.19801989~0.114692576~0.08136436~0.1800574~0.17092374~0.11657157~0.05785539~0.023447055~0.13024424~0.12480864~0.02823077~0.05085035~0.02280278~0.03624724~0.035816725~0.07222105~0.07336623~0.07528446~0.063156985~0.052417614~0.045179572~0.03664885~0.11951545~0.06808926~0.07156314~0.04886644~0.038584664~0.02868085~0.01752176~0.02153202~0.02735424~0.01716345~0.015693434~0.009461145~0.010474898~0.010295557~0.010643333~0.007930351~0.0059587765~0.0055326703~0.0037479196~0.0019901232~0.0011384534~0.0012230916~0.001970714~0.0020854722~0.0018666002~0.0020498731~0.002549206~0.00275279~0.003024363~0.002228434~0.0017340593~0.0015929544~0.00085829117~0.0004946594~0.00028797373~0.00018973305~0.000117738324~6.863115e-05~4.7304235e-05~4.9072845e-05~3.7668557e-05~2.0781004e-05,disgust
